CustomerID,Date,SubscriptionPlan,AgeGroup,Login,WatchTimeMinutes,ContentPreference,Churned,ChurnDate
CUST001,2025-04-01,Basic,36-50,0,0,Sports,False,
CUST001,2025-04-02,Basic,36-50,1,25,Sports,False,
CUST001,2025-04-03,Basic,36-50,0,0,Sports,False,
CUST001,2025-04-04,Basic,36-50,1,51,Sports,False,
CUST001,2025-04-05,Basic,36-50,0,0,Sports,False,
CUST001,2025-04-06,Basic,36-50,1,17,Sports,False,
CUST001,2025-04-07,Basic,36-50,0,0,Sports,False,
CUST001,2025-04-08,Basic,36-50,1,42,Sports,False,
CUST001,2025-04-09,Basic,36-50,1,22,Sports,False,
CUST001,2025-04-10,Basic,36-50,0,0,Sports,False,
CUST001,2025-04-11,Basic,36-50,1,38,Sports,False,
CUST001,2025-04-12,Basic,36-50,1,34,Sports,False,
CUST001,2025-04-13,Basic,36-50,0,0,Sports,False,
CUST001,2025-04-14,Basic,36-50,0,0,Sports,False,
CUST001,2025-04-15,Basic,36-50,0,0,Sports,False,
CUST001,2025-04-16,Basic,36-50,0,0,Sports,False,
CUST001,2025-04-17,Basic,36-50,0,0,Sports,False,
CUST001,2025-04-18,Basic,36-50,0,0,Sports,False,
CUST001,2025-04-19,Basic,36-50,0,0,Sports,False,
CUST001,2025-04-20,Basic,36-50,1,31,Sports,False,
CUST001,2025-04-21,Basic,36-50,0,0,Sports,False,
CUST001,2025-04-22,Basic,36-50,0,0,Sports,False,
CUST001,2025-04-23,Basic,36-50,1,47,Sports,False,
CUST001,2025-04-24,Basic,36-50,1,11,Sports,False,
CUST001,2025-04-25,Basic,36-50,1,20,Sports,False,
CUST001,2025-04-26,Basic,36-50,1,23,Sports,False,
CUST001,2025-04-27,Basic,36-50,1,33,Sports,False,
CUST001,2025-04-28,Basic,36-50,1,60,Sports,False,
CUST001,2025-04-29,Basic,36-50,0,0,Sports,False,
CUST001,2025-04-30,Basic,36-50,0,0,Sports,False,
CUST001,2025-05-01,Basic,36-50,0,0,Sports,False,
CUST001,2025-05-02,Basic,36-50,1,53,Sports,False,
CUST001,2025-05-03,Basic,36-50,1,50,Sports,False,
CUST001,2025-05-04,Basic,36-50,0,0,Sports,False,
CUST001,2025-05-05,Basic,36-50,1,40,Sports,False,
CUST001,2025-05-06,Basic,36-50,1,54,Sports,False,
CUST001,2025-05-07,Basic,36-50,0,0,Sports,False,
CUST001,2025-05-08,Basic,36-50,0,0,Sports,False,
CUST001,2025-05-09,Basic,36-50,1,29,Sports,False,
CUST001,2025-05-10,Basic,36-50,1,35,Sports,False,
CUST001,2025-05-11,Basic,36-50,1,51,Sports,False,
CUST001,2025-05-12,Basic,36-50,1,60,Sports,False,
CUST001,2025-05-13,Basic,36-50,0,0,Sports,False,
CUST001,2025-05-14,Basic,36-50,1,47,Sports,False,
CUST001,2025-05-15,Basic,36-50,1,33,Sports,False,
CUST001,2025-05-16,Basic,36-50,1,21,Sports,False,
CUST001,2025-05-17,Basic,36-50,1,19,Sports,False,
CUST001,2025-05-18,Basic,36-50,0,0,Sports,False,
CUST001,2025-05-19,Basic,36-50,1,51,Sports,False,
CUST001,2025-05-20,Basic,36-50,1,17,Sports,False,
CUST001,2025-05-21,Basic,36-50,1,52,Sports,False,
